product_id,product_name,category,price,stock,rating,description
1001,iPhone 15 Pro,手机,8999,120,4.8,苹果最新旗舰手机搭载A17 Pro芯片
1002,小米14,手机,3999,350,4.6,小米高端旗舰搭载骁龙8 Gen3处理器
1003,MacBook Pro 14,电脑,14999,45,4.9,苹果专业级笔记本M3 Pro芯片
1004,ThinkPad X1 Carbon,电脑,9999,80,4.5,联想商务旗舰轻薄笔记本
1005,AirPods Pro 2,耳机,1899,500,4.7,苹果主动降噪无线耳机
1006,Sony WH-1000XM5,耳机,2499,200,4.8,索尼旗舰降噪头戴式耳机
1007,iPad Air,平板,4799,150,4.6,苹果中端平板电脑M2芯片
1008,华为MatePad Pro,平板,3699,180,4.5,华为高端平板电脑麒麟芯片
1009,Apple Watch Ultra 2,手表,5999,90,4.7,苹果极限运动智能手表
1010,Dell U2723QE,显示器,4299,60,4.6,戴尔4K专业设计显示器
