场景,问题,回复
退换货,我要退货,好的，请提供您的订单号。确认商品未穿着、未洗涤、吊牌完好且在签收后7天内，即可为您办理退货。退货运费非质量问题由买家承担，我们收到退货后3个工作日内退款。
退换货,我要换货,好的，请提供订单号和您想更换的尺码/颜色。换货商品需未穿着、未洗涤、吊牌完好且在签收后7天内。我们会先为您寄出新商品，您再将原商品退回。
退换货,收到衣服有质量问题,非常抱歉给您带来不便！请拍照发给我们确认，确认是质量问题后我们将为您免费办理退换货，运费由我们承担。同时赠送您一张20元优惠券作为补偿。
物流,快递多久能到,下单后48小时内发货，一线城市1-2天送达，其他城市2-5天。发货后会短信通知您快递单号，也可在订单页面实时查看物流。
物流,可以指定快递吗,目前默认使用顺丰/中通发货，如需指定快递请联系客服备注。偏远地区可能使用邮政EMS，配送时间会稍长。
订单,下错单了怎么修改,如果订单还未发货，可以在订单页面点击"修改订单"或联系客服帮您修改尺码、颜色、地址等信息。已发货的订单无法修改，建议收到后申请换货。
订单,怎么取消订单,未发货的订单可在订单页面直接取消，退款即时到账。已发货的订单无法取消，建议收到后申请退货。
支付,可以用花呗吗,支持的，我们支持支付宝花呗、微信支付、银联卡、信用卡等多种支付方式。花呗分期免息活动不定期开放，请关注首页公告。
尺码建议,T恤怎么选尺码,我们的T恤为宽松版型，建议按正常尺码选购。如果喜欢合身效果可以选小一码。您可以参考商品详情页的模特试穿报告和尺码对照表。
尺码建议,衬衫怎么选尺码,衬衫为修身版型，建议按正常尺码选购。如果喜欢宽松感或者肩膀较宽，建议选大一码。商务场合穿着建议合身，休闲场合可以略宽松。
尺码建议,裤子怎么选尺码,建议测量腰围后选择对应尺码。修身款（牛仔裤、西裤）按正常腰围选择；宽松款（休闲裤、运动裤）可以考虑小一码。如果大腿较粗，建议选大一码。
尺码建议,两个尺码之间怎么选,如果您的测量数据介于两个尺码之间：修身款建议选大一码，宽松款可选小一码。如有疑问可以联系客服，告知您的身高体重，我们帮您推荐。
材质咨询,纯棉和聚酯纤维有什么区别,纯棉：天然纤维，亲肤透气吸汗，但易皱和缩水；聚酯纤维：人造纤维，耐磨抗皱不易变形，但透气性略差。我们的混纺面料结合了两者优点，既舒适又好打理。
材质咨询,羊绒和羊毛有什么区别,羊绒来自山羊绒毛，更细软轻盈，保暖性是羊毛的8倍，价格也更高；羊毛来自绵羊，保暖性好但相对较重。我们的大衣含30%羊毛+5%羊绒，兼顾保暖性和性价比。
材质咨询,真丝面料好不好打理,真丝是高档天然纤维，手感顺滑、透气性好。但确实需要精心保养：建议干洗，避免暴晒和摩擦，不可使用碱性洗涤剂。如果追求好打理，可以选择仿真丝面料（聚酯纤维）的替代款。
优惠活动,现在有什么优惠,目前正在进行的活动请查看首页Banner和活动专区。新用户首单享9折优惠，注册即送20元优惠券。老用户可关注会员折扣：银卡9折、金卡85折。
优惠活动,优惠券怎么获取,获取方式：1）新用户注册赠送20元券；2）关注公众号领取专属优惠；3）参与签到活动累计积分兑换；4）购物评价后随机获得优惠券；5）会员生日当月赠送专属优惠券。
