问题,答案,分类
如何选择合适的尺码？,建议您参考我们的尺码对照表，测量自己的胸围、腰围和臀围后选择对应尺码。如果介于两个尺码之间，建议选大一码。不同款式的版型建议也有所不同：修身款建议按正常尺码选择，宽松款可以考虑小一码。,尺码相关
衣服尺码偏大还是偏小？,我们的大部分商品尺码标准参照国标GB/T1335系列。T恤和卫衣类为宽松版型，建议按正常尺码选购；衬衫和西装类为修身版型，如偏好宽松可选大一码。具体可查看每个商品详情页的"尺码建议"。,尺码相关
你们支持7天无理由退换吗？,是的，未穿着、未洗涤、吊牌完好的商品支持7天无理由退换。退换货运费规则：质量问题由我们承担，非质量问题由买家承担。请通过订单页面申请退换货，我们会在3个工作日内处理。,售后相关
如何清洗羊毛/羊绒制品？,建议干洗或手洗：1）使用30℃以下冷水；2）使用专用羊毛洗涤剂；3）轻柔按压不要揉搓；4）平铺晾干避免悬挂变形；5）存放时注意防蛀，可放樟脑丸。切勿机洗或使用烘干机。,洗护相关
纯棉衣服会缩水吗？,我们的纯棉制品都经过了预缩处理，正常洗涤缩水率控制在3%以内。建议冷水洗涤、自然晾干，避免高温烘干。首次洗涤建议单独清洗，可能有少量浮色属于正常现象。,洗护相关
防晒衣的防晒效果能持续多久？,我们的防晒衣采用UPF50+面料，防晒效果可持续约40-50次洗涤。建议使用中性洗涤剂轻柔手洗，避免使用漂白剂和柔顺剂，不要拧干和暴晒，以延长防晒效果。,产品相关
真丝衣服如何保养？,真丝保养要点：1）建议干洗，手洗时用丝毛专用洗涤剂和冷水；2）不可拧干，用毛巾吸水后平铺阴干；3）熨烫时用低温垫布熨烫；4）避免接触香水、防晒霜等化学品；5）存放时用衣架悬挂，避免折叠压痕。,洗护相关
羽绒服如何清洗和收纳？,清洗建议：1）建议送到专业干洗店清洗；2）若手洗，用温水加中性洗涤剂轻轻刷洗；3）不可拧干，轻压排水后平铺晾干；4）晾干后轻拍恢复蓬松。收纳时用透气收纳袋，避免压缩存放以保护羽绒弹性。,洗护相关
你们的发货时间是多久？,下单后48小时内发货（节假日顺延）。快递配送时间：一线城市1-2天，其他城市2-5天。您可以在订单页面实时查看物流信息。发货后会通过短信通知快递单号。,物流相关
支持哪些支付方式？,我们支持微信支付、支付宝、银联卡、信用卡等主流支付方式。下单后请在30分钟内完成支付，超时订单将自动取消。,订单相关
如何查看订单状态？,登录后进入"我的订单"页面，可以查看所有订单的状态。订单状态包括：待付款、待发货、已发货、已完成、已关闭。已发货的订单可以点击查看物流详情。,订单相关
你们有会员折扣吗？,有的。注册即成为普通会员享受95折；累计消费满2000元升级为银卡会员享受9折；满5000元升级为金卡会员享受85折。会员折扣不与优惠券叠加使用。,会员相关
衣服有色差怎么办？,由于拍摄光线和显示器差异，可能存在轻微色差。如果您收到的商品色差较大，可以在7天内申请退换货。我们的商品图片尽量还原实物颜色，详情页会标注"实拍色"和"参考色"。,售后相关
衣服起球正常吗？,部分面料（如羊毛、羊绒混纺）在摩擦后可能会出现轻微起球，属于正常现象。建议使用毛球修剪器处理。如果起球严重或穿着不久就大面积起球，请联系客服处理。,产品相关
运动服面料有什么特点？,我们的运动服采用功能性面料：1）速干聚酯纤维+氨纶面料，吸湿排汗；2）四面弹力设计不束缚运动；3）部分款式带有反光元素，夜跑更安全；4）网面透气设计增加空气流通。,产品相关
如何辨别衣服的面料成分？,每件衣服的内侧标签都标注了面料成分和含量。我们的商品详情页也会详细说明面料信息。如需进一步确认，可以联系客服索取面料检测报告。,产品相关
你们有线下实体店吗？,目前我们在全国主要城市有超过50家线下体验店，您可以到店试穿后再购买。具体门店地址可以在官网"门店查询"页面搜索，也支持线上下单到店自提。,服务相关
如何使用优惠券？,在结算页面，找到"使用优惠券"入口，输入优惠券码或选择已有优惠券即可。请注意优惠券的使用条件（如满减门槛、适用商品范围、有效期等）。一张订单只能使用一张优惠券。,订单相关
