商品ID,商品名称,分类,价格,材质,颜色,适用季节,风格,目标人群,描述
P001,经典纯棉圆领T恤,上装/T恤,89,纯棉,白色/黑色/灰色/藏青色,春夏,休闲,男女通用,100%精梳棉面料，透气吸汗，圆领设计不勒脖，基础百搭款
P002,弹力修身牛仔裤,下装/牛仔裤,259,棉+氨纶,深蓝色/浅蓝色/黑色,四季,休闲/通勤,男,含2%氨纶弹力纤维，修身版型不紧绷，经典五袋设计
P003,轻薄防晒衣,外套/防晒衣,159,锦纶+氨纶,白色/粉色/浅蓝色,夏,运动/户外,女,UPF50+防晒指数，冰丝凉感面料，可收纳便携设计
P004,商务休闲衬衫,上装/衬衫,199,棉+聚酯纤维,白色/浅蓝色/条纹,春秋,商务/通勤,男,免烫抗皱面料，修身剪裁，适合办公和商务场合
P005,高腰阔腿裤,下装/阔腿裤,229,棉+聚酯纤维,黑色/卡其色/米白色,春秋,休闲/通勤,女,高腰设计拉长腿部线条，垂坠感面料，百搭显瘦
P006,连帽卫衣,上装/卫衣,179,棉+聚酯纤维,灰色/黑色/酒红色,秋冬,休闲/运动,男女通用,加绒内里保暖舒适，袋鼠口袋设计，宽松版型
P007,羊毛混纺大衣,外套/大衣,599,羊毛+羊绒,驼色/黑色/灰色,秋冬,商务/通勤,男女通用,含30%羊毛+5%羊绒，双面呢工艺，经典翻领设计
P008,运动速干短袖,上装/运动T恤,129,聚酯纤维+氨纶,黑色/白色/荧光绿,夏,运动,男女通用,速干透气面料，四面弹力不束缚，反光Logo设计
P009,真丝连衣裙,裙装/连衣裙,459,桑蚕丝,酒红色/藏青色/香槟色,春夏,优雅/正式,女,100%桑蚕丝面料，自然垂坠，A字版型显瘦
P010,羽绒背心,外套/羽绒背心,349,聚酯纤维+白鸭绒,黑色/深蓝色/军绿色,秋冬,休闲/户外,男女通用,含绒量90%白鸭绒，轻薄保暖，可内外两穿
P011,纯棉格子长袖衬衫,上装/衬衫,169,纯棉,红格子/蓝格子/绿格子,春秋,休闲/学院风,男,全棉磨毛面料，经典格纹元素，宽松休闲版型
P012,蕾丝拼接连衣裙,裙装/连衣裙,329,棉+蕾丝,白色/黑色/粉色,春夏,甜美/约会,女,精致蕾丝拼接设计，收腰显瘦，内衬不透
P013,工装风短裤,下装/短裤,159,棉+锦纶,卡其色/军绿色/黑色,夏,休闲/户外,男,多口袋工装设计，耐磨面料，可调节腰带
P014,羊绒圆领毛衣,上装/毛衣,499,羊绒混纺,驼色/灰色/黑色/酒红色,秋冬,休闲/商务,男女通用,含15%羊绒成分，亲肤柔软不起球，简约圆领
P015,网面透气跑步鞋,鞋类/运动鞋,399,网布+橡胶,黑白色/灰蓝色/黑红色,四季,运动,男女通用,网面透气设计，缓震中底，防滑橡胶大底
P016,弹力瑜伽裤,下装/瑜伽裤,189,锦纶+氨纶,黑色/深灰色/墨绿色,四季,运动/休闲,女,高弹力面料，高腰提臀设计，隐藏口袋
P017,双面穿风衣,外套/风衣,459,棉+聚酯纤维,卡其色/黑色,春秋,休闲/通勤,男女通用,双面可穿设计，防风防水面料，中长款
P018,亚麻休闲短裤,下装/短裤,139,亚麻,米白色/浅灰色/卡其色,夏,休闲/度假,男女通用,天然亚麻面料，透气凉爽，松紧腰带
P019,加绒保暖内衣套装,内衣/保暖套装,149,莫代尔+发热纤维,灰色/黑色/肤色,秋冬,保暖,男女通用,发热纤维内里，贴身保暖不臃肿
P020,丝绸印花围巾,配饰/围巾,129,桑蚕丝,多款印花可选,秋冬,优雅/百搭,女,100%桑蚕丝，精美印花，轻盈飘逸
