分类,尺码,适合身高(cm),胸围(cm),腰围(cm),臀围(cm),肩宽(cm),建议体重(kg),备注
男装/上装,S,160-165,86-90,72-76,88-92,42-44,50-60,修身版型建议大一码
男装/上装,M,165-170,90-94,76-80,92-96,44-46,60-70,标准尺码
男装/上装,L,170-175,94-98,80-84,96-100,46-48,70-80,标准尺码
男装/上装,XL,175-180,98-102,84-88,100-104,48-50,80-90,标准尺码
男装/上装,XXL,180-185,102-106,88-92,104-108,50-52,90-100,宽松版型建议小一码
男装/下装,28,160-165,,68-72,86-90,,50-60,腰围28英寸
男装/下装,29,165-170,,72-76,90-94,,60-65,腰围29英寸
男装/下装,30,170-175,,76-80,94-98,,65-72,腰围30英寸
男装/下装,31,175-180,,80-84,98-102,,72-80,腰围31英寸
男装/下装,32,180-185,,84-88,102-106,,80-90,腰围32英寸
男装/下装,34,185-190,,88-92,106-110,,90-100,腰围34英寸
女装/上装,S,150-155,78-82,60-64,84-88,36-38,40-48,修身版型建议大一码
女装/上装,M,155-160,82-86,64-68,88-92,38-40,48-55,标准尺码
女装/上装,L,160-165,86-90,68-72,92-96,40-42,55-62,标准尺码
女装/上装,XL,165-170,90-94,72-76,96-100,42-44,62-70,宽松版型建议小一码
女装/下装,S,150-155,,60-64,84-88,,40-48,腰围约60-64cm
女装/下装,M,155-160,,64-68,88-92,,48-55,腰围约64-68cm
女装/下装,L,160-165,,68-72,92-96,,55-62,腰围约68-72cm
女装/下装,XL,165-170,,72-76,96-100,,62-70,腰围约72-76cm
